#{"t_start": 1620582777.488878, "env_id": "procgen-fruitbot-v0"}
r,l,t
1.0,51,238.994278
0.0,65,239.133928
0.0,80,239.294669
5.0,58,239.610312
-3.0,94,239.791079
-11.0,80,239.943791
-4.0,80,240.298376
-7.0,94,240.48665
-8.0,80,240.638126
1.0,51,240.734545
1.0,44,241.008647
-7.0,72,241.154477
-8.0,44,241.240625
-7.0,144,241.707838
-4.0,72,241.853738
2.0,65,241.986031
3.0,72,242.153287
-2.0,94,242.538694
1.0,51,242.634705
-3.0,173,243.17038
0.0,51,243.273553
-3.0,72,243.42017
2.0,51,243.524658
1.0,65,243.856983
2.0,58,243.968071
-2.0,94,244.148499
-11.0,51,244.25463
0.0,94,244.638251
-4.0,58,244.752846
-4.0,80,244.91013
-3.0,94,245.290936
0.0,87,245.468216
0.0,44,245.558195
-8.0,51,245.655204
0.0,58,245.964051
-3.0,80,246.12809
0.0,51,246.238159
1.0,115,246.661294
-2.0,72,246.805763
2.0,72,246.949872
1.0,44,247.038236
2.0,108,247.464037
1.0,72,247.611342
1.0,72,247.763894
-4.0,58,248.074112
1.0,108,248.303389
-4.0,80,248.46925
1.0,101,248.868814
0.0,58,248.985231
-12.0,94,249.179498
0.0,72,249.519653
1.0,87,249.685276
1.0,101,249.876189
-10.0,97,250.269414
0.0,44,250.358248
0.0,72,250.503142
2.0,65,250.63778
0.0,72,250.979137
-8.0,65,251.109285
-3.0,94,251.306274
-6.0,72,251.6454
0.0,44,251.734234
-2.0,51,251.836456
0.0,87,252.013488
3.0,65,252.343846
-4.0,80,252.504508
2.0,72,252.648615
1.0,103,253.05184
-4.0,58,253.17015
-4.0,80,253.347513
-2.0,81,253.512643
-8.0,72,253.85261
0.0,87,254.024571
1.0,51,254.129508
1.0,58,254.24747
-4.0,80,254.600622
0.0,72,254.737506
3.0,65,254.862523
0.0,87,255.23365
1.0,101,255.445853
0.0,58,255.564483
0.0,87,255.942746
0.0,58,256.057191
0.0,72,256.198364
-4.0,51,256.299982
-7.0,87,256.672655
-12.0,87,256.839854
0.0,72,256.980649
-4.0,108,257.408819
0.0,87,257.586046
0.0,44,257.677113
